,IPO,Status,Price,GMP,EstListing,FireRating,IPOSize,Lot,Open,Close,BoADt,Listing,GMPUpdated
0,Super Iron Foundry IPO BSE SME,Open (Sub:0.13x),108.0,36.0,144 (33.33%),🔥🔥🔥🔥,₹68.05 Cr,"1,200",11-Mar,2025-03-13,2025-03-17,2025-03-19,11-Mar 13:00
1,Shri Ahimsa Naturals NSE SME,Open (Sub:1.84x),119.0,12.0,131 (10.08%),🔥🔥🔥,₹73.81 Cr,"1,200",25-Mar,2025-03-27,2025-03-28,2025-04-02,26-Mar 12:54
2,Srigee DLM BSE SME,Open (Sub:3.9x),99.0,25.0,124 (25.25%),🔥🔥🔥🔥,₹16.98 Cr,"1,200",5-May,2025-05-07,2025-05-08,2025-05-12,5-May 12:36
3,Borana Weaves IPO,Open (Sub:3.32x),216.0,60.0,276 (27.78%),🔥🔥🔥🔥,₹144.89 Cr,69,20-May,2025-05-22,2025-05-23,2025-05-27,20-May 12:32
4,Dar Credit and Capital NSE SME,Open (Sub:1.99x),60.0,15.0,75 (25%),🔥🔥🔥🔥,₹25.66 Cr,"2,000",21-May,2025-05-23,2025-05-26,2025-05-28,21-May 12:33
5,Belrise Industries IPO,Open (Sub:0.32x),90.0,14.0,104 (15.56%),🔥🔥🔥,₹2150.00 Cr,166,21-May,2025-05-23,2025-05-26,2025-05-28,21-May 12:33
